id,name,canonical_id
pr1,Apple iPhone 15 Pro 128GB,iphone_15_pro_128
pr2,iPhone 15 Pro 128 GB,iphone_15_pro_128
pr3,Apple iPhone 15Pro 128G,iphone_15_pro_128
pr4,Samsung Galaxy S24 Ultra 256GB,galaxy_s24_ultra_256
pr5,Galaxy S24 Ultra 256 GB,galaxy_s24_ultra_256
pr6,Samsung S24 Ultra 256G,galaxy_s24_ultra_256
pr7,Dell XPS 13 Laptop 16GB,dell_xps_13_16gb
pr8,Dell XPS13 16 GB,dell_xps_13_16gb
pr9,XPS 13 Notebook 16GB,dell_xps_13_16gb
pr10,Sony WH-1000XM5 Headphones,sony_wh1000xm5
pr11,Sony WH1000XM5 Wireless Headphones,sony_wh1000xm5
pr12,WH-1000 XM5 Headset,sony_wh1000xm5

